state,county,2010_population,2015_population,,FIPS
North Carolina,Brunswick,107431,122211,BrunswickNorth Carolina,37019
Virginia,Brunswick,17434,16845,BrunswickVirginia,51025
Georgia,Bryan,30233,34792,BryanGeorgia,13029
Oklahoma,Bryan,42416,45021,BryanOklahoma,40013
Iowa,Buchanan,20958,21105,BuchananIowa,19019
Missouri,Buchanan,89201,89082,BuchananMissouri,29021
Virginia,Buchanan,24098,22752,BuchananVirginia,51027
Virginia,Buckingham,17146,17017,BuckinghamVirginia,51029
Pennsylvania,Bucks,625249,625276,BucksPennsylvania,42017
Iowa,BuenaVista,20260,20374,BuenaVistaIowa,19021
Virginia,BuenaVista,6650,6529,BuenaVistaVirginia,51530
Nebraska,Buffalo,46102,48578,BuffaloNebraska,31019
South Dakota,Buffalo,1912,2098,BuffaloSouth Dakota,46017
Wisconsin,Buffalo,13587,13245,BuffaloWisconsin,55011
Kentucky,Bullitt,74319,78677,BullittKentucky,21029
Georgia,Bulloch,70217,73116,BullochGeorgia,13031
Alabama,Bullock,10914,10400,BullockAlabama,1011
North Carolina,Buncombe,238318,251954,BuncombeNorth Carolina,37021
Illinois,Bureau,34978,33491,BureauIllinois,17011
Georgia,Burke,23316,22632,BurkeGeorgia,13033
North Carolina,Burke,90912,89341,BurkeNorth Carolina,37023
North Dakota,Burke,1968,2344,BurkeNorth Dakota,38013
North Dakota,Burleigh,81308,93211,BurleighNorth Dakota,38015
Texas,Burleson,17187,17611,BurlesonTexas,48051
New Jersey,Burlington,448734,446832,BurlingtonNew Jersey,34005
Texas,Burnet,42750,44734,BurnetTexas,48053
Wisconsin,Burnett,15457,15142,BurnettWisconsin,55013
Nebraska,Burt,6858,6538,BurtNebraska,31021
Alabama,Butler,20947,20162,ButlerAlabama,1013
Iowa,Butler,14867,14881,ButlerIowa,19023
Kansas,Butler,65880,66249,ButlerKansas,20015
Kentucky,Butler,12690,12734,ButlerKentucky,21031
Missouri,Butler,42794,42829,ButlerMissouri,29023
Nebraska,Butler,8395,8058,ButlerNebraska,31023
Ohio,Butler,368130,375998,ButlerOhio,39017
Pennsylvania,Butler,183862,185936,ButlerPennsylvania,42019
California,Butte,220000,224631,ButteCalifornia,6007
Idaho,Butte,2891,2566,ButteIdaho,16023
South Dakota,Butte,10110,10207,ButteSouth Dakota,46019
Georgia,Butts,23655,23520,ButtsGeorgia,13035
North Carolina,Cabarrus,178011,196396,CabarrusNorth Carolina,37025
West Virginia,Cabell,96319,96582,CabellWest Virginia,54011
Utah,Cache,112656,119697,CacheUtah,49005
Louisiana,Caddo,254969,251345,CaddoLouisiana,22017
Oklahoma,Caddo,29600,29433,CaddoOklahoma,40015
California,Calaveras,45578,44965,CalaverasCalifornia,6009
Louisiana,Calcasieu,192768,198450,CalcasieuLouisiana,22019
Kentucky,Caldwell,12984,12748,CaldwellKentucky,21033
Louisiana,Caldwell,10132,10045,CaldwellLouisiana,22021
Missouri,Caldwell,9424,9002,CaldwellMissouri,29025
North Carolina,Caldwell,83029,81518,CaldwellNorth Carolina,37027
Texas,Caldwell,38066,40419,CaldwellTexas,48055
Vermont,Caledonia,31227,30645,CaledoniaVermont,50005
Alabama,Calhoun,118572,115469,CalhounAlabama,1015
Arkansas,Calhoun,5368,5200,CalhounArkansas,5013
Florida,Calhoun,14625,14406,CalhounFlorida,12013
Georgia,Calhoun,6694,6534,CalhounGeorgia,13037
Illinois,Calhoun,5089,4860,CalhounIllinois,17013
Iowa,Calhoun,9670,9801,CalhounIowa,19025
Michigan,Calhoun,136146,134327,CalhounMichigan,26025
Mississippi,Calhoun,14962,14639,CalhounMississippi,28013
South Carolina,Calhoun,15175,14759,CalhounSouth Carolina,45017
