state,county,FIPS,SVI_sum_of_indicators,SVI_ranking,percent_uninsured
SOUTH DAKOTA,Faulk,46049,4.4409,0.0761,9.4
WYOMING,Teton,56039,4.4514,0.0764,14.7
IOWA,Ida,19093,4.4546,0.0767,5.7
NEBRASKA,Stanton,31167,4.4556,0.077,10
PENNSYLVANIA,Butler,42019,4.4588,0.0774,5.1
UTAH,Daggett,49009,4.4613,0.0777,4
NEBRASKA,Blaine,31009,4.4635,0.078,19.5
INDIANA,Dearborn,18029,4.4645,0.0783,8.4
IOWA,Fremont,19071,4.467,0.0786,7.2
IOWA,Harrison,19085,4.4683,0.079,7.8
WISCONSIN,Buffalo,55011,4.4696,0.0793,6.7
MONTANA,Golden Valley,30037,4.4715,0.0796,15.2
KANSAS,Marshall,20117,4.4798,0.0799,7.8
NEBRASKA,Banner,31007,4.4909,0.0802,10.2
GEORGIA,Fayette,13113,4.4967,0.0805,7.7
IDAHO,Valley,16085,4.4989,0.0809,16.8
ILLINOIS,McHenry,17111,4.5033,0.0812,7
NEBRASKA,Seward,31159,4.5033,0.0815,6
CONNECTICUT,Litchfield,9005,4.5043,0.0818,6
MARYLAND,Calvert,24009,4.5189,0.0821,6
WISCONSIN,Florence,55037,4.5209,0.0825,8.5
MINNESOTA,Chisago,27025,4.5247,0.0828,5.6
INDIANA,Warrick,18173,4.5269,0.0831,7.4
TEXAS,Archer,48009,4.5298,0.0834,12.5
WYOMING,Park,56029,4.5361,0.0837,11.8
NEBRASKA,Deuel,31049,4.5441,0.084,14.7
RHODE ISLAND,Washington,44009,4.5466,0.0844,5.1
PENNSYLVANIA,Bucks,42017,4.5508,0.0847,5.3
IDAHO,Boise,16015,4.5533,0.085,12.4
MAINE,York,23031,4.5568,0.0853,8.7
NORTH DAKOTA,Traill,38097,4.5584,0.0856,4.4
MARYLAND,Harford,24025,4.5635,0.086,4.6
VIRGINIA,Loudoun,51107,4.5645,0.0863,7.5
KENTUCKY,Spencer,21215,4.5724,0.0866,6.4
WYOMING,Johnson,56019,4.5734,0.0869,13.9
SOUTH DAKOTA,Miner,46097,4.5766,0.0872,9.3
OHIO,Geauga,39055,4.5807,0.0876,10.7
NORTH DAKOTA,Richland,38077,4.5861,0.0879,4.8
FLORIDA,St. Johns,12109,4.5989,0.0882,9.5
VIRGINIA,Bedford,51019,4.5992,0.0888,8.4
MISSOURI,Platte,29165,4.5992,0.0885,7.5
MINNESOTA,Grant,27051,4.6043,0.0891,5.5
IOWA,Worth,19195,4.6316,0.0895,5.9
MONTANA,Valley,30105,4.6332,0.0898,11.3
MINNESOTA,Cook,27031,4.6406,0.0901,9.1
KANSAS,Cheyenne,20023,4.6444,0.0904,7.8
ILLINOIS,Hancock,17067,4.646,0.0907,6.1
VIRGINIA,Highland,51091,4.6466,0.0911,15.1
VIRGINIA,James City,51095,4.6514,0.0914,7.6
NEBRASKA,Webster,31181,4.6625,0.0917,10.6
MAINE,Lincoln,23015,4.6648,0.092,11.4
OHIO,Union,39159,4.6651,0.0923,6.4
PENNSYLVANIA,Perry,42099,4.6708,0.0926,10
INDIANA,Whitley,18183,4.6711,0.093,8.4
CALIFORNIA,Sierra,6091,4.6734,0.0933,8.1
CONNECTICUT,Middlesex,9007,4.6851,0.0936,5
MASSACHUSETTS,Nantucket,25019,4.6909,0.0939,5.7
NEW HAMPSHIRE,Belknap,33001,4.695,0.0942,10.7
PENNSYLVANIA,Elk,42047,4.7033,0.0946,4.6
PENNSYLVANIA,Wyoming,42131,4.7068,0.0949,7.5
ILLINOIS,Shelby,17173,4.7096,0.0952,6.6
KANSAS,Wabaunsee,20197,4.7128,0.0955,8
IOWA,Guthrie,19077,4.7151,0.0958,6.5
UTAH,Davis,49011,4.7163,0.0961,8
IOWA,Pocahontas,19151,4.7198,0.0965,6.6
ILLINOIS,Stark,17175,4.7313,0.0968,7.9
NORTH DAKOTA,Mercer,38057,4.7348,0.0971,12.2
NORTH DAKOTA,Bowman,38011,4.7364,0.0974,7.2
NEBRASKA,Sherman,31163,4.744,0.0977,7.7
SOUTH DAKOTA,Turner,46125,4.7466,0.0981,6.9
VIRGINIA,Rockbridge,51163,4.7479,0.0984,11.6
WISCONSIN,Lincoln,55069,4.7523,0.0987,6.4
NORTH DAKOTA,Hettinger,38041,4.7533,0.099,7.8
ALASKA,Skagway,2230,4.7549,0.0993,23.4
MINNESOTA,Murray,27101,4.7558,0.0996,6.1
ILLINOIS,De Witt,17039,4.7571,0.1003,6.9
WISCONSIN,Columbia,55021,4.7571,0.1,6.3
NORTH DAKOTA,Golden Valley,38033,4.7606,0.1006,17.3
OHIO,Clermont,39025,4.7635,0.1009,7.3
KENTUCKY,Anderson,21005,4.7682,0.1016,7.1
WISCONSIN,Washburn,55129,4.7682,0.1012,7.5
ILLINOIS,Menard,17129,4.7685,0.1019,4.5
IOWA,Mills,19129,4.7778,0.1022,5.7
NEBRASKA,Polk,31143,4.7924,0.1025,9.1
WYOMING,Sheridan,56033,4.795,0.1028,9.7
COLORADO,Grand,8049,4.7994,0.1032,17.6
MICHIGAN,Barry,26015,4.8029,0.1035,6.5
UTAH,Wasatch,49051,4.8061,0.1038,13
NEBRASKA,Custer,31041,4.8071,0.1041,10.7
MINNESOTA,Sherburne,27141,4.8093,0.1044,3.8
WISCONSIN,Outagamie,55087,4.8169,0.1047,5.6
KANSAS,Pottawatomie,20149,4.8179,0.1051,7.3
VIRGINIA,York,51199,4.822,0.1054,6
ILLINOIS,Grundy,17063,4.8239,0.1057,5.5
MISSOURI,Atchison,29005,4.8262,0.106,11.5
KANSAS,Ellis,20051,4.8294,0.1063,8.3
MONTANA,Madison,30057,4.8313,0.1067,14.9
INDIANA,Pike,18125,4.8319,0.107,8.4
ALABAMA,Shelby,1117,4.8338,0.1073,8.2
NEW JERSEY,Morris,34027,4.8354,0.1076,6.7
TEXAS,Baylor,48023,4.8386,0.1079,18.4
KANSAS,Jefferson,20087,4.8402,0.1082,9.8
ILLINOIS,Kendall,17093,4.8583,0.1086,4.9
NORTH DAKOTA,Ransom,38073,4.8628,0.1089,4.8
WASHINGTON,San Juan,53055,4.8641,0.1092,11
NORTH DAKOTA,Emmons,38029,4.865,0.1095,5.8
NEBRASKA,Hitchcock,31087,4.866,0.1098,14.7
MINNESOTA,Isanti,27059,4.8701,0.1102,6.1
RHODE ISLAND,Bristol,44001,4.8707,0.1105,5.3
IOWA,Shelby,19165,4.8736,0.1108,7.1
IOWA,Warren,19181,4.8755,0.1111,4
MINNESOTA,Lake,27075,4.8768,0.1114,4.9
NEW YORK,Putnam,36079,4.8771,0.1117,6.5
MINNESOTA,Dakota,27037,4.8784,0.1121,5.2
IOWA,Hardin,19083,4.8787,0.1124,5
