state,county,2010_population,2015_population
Missouri,Holt,4912,4483
Nebraska,Holt,10435,10263
Kentucky,Hopkins,46920,46055
Texas,Hopkins,35161,35973
Alabama,Houston,101547,104260
Georgia,Houston,139900,149323
Minnesota,Houston,19027,18686
Tennessee,Houston,8426,8124
Texas,Houston,23732,22747
Arkansas,Howard,13789,13336
Indiana,Howard,82752,82338
Iowa,Howard,9566,9313
Maryland,Howard,287085,311297
Missouri,Howard,10144,10134
Nebraska,Howard,6274,6382
Texas,Howard,35012,37123
Oklahoma,Hughes,14003,13592
South Dakota,Hughes,17022,17555
California,Humboldt,134623,135102
Iowa,Humboldt,9815,9556
Nevada,Humboldt,16528,17017
Mississippi,Humphreys,9375,8705
Tennessee,Humphreys,18538,18157
Michigan,Huron,33118,31763
Ohio,Huron,59626,58307
South Dakota,Hutchinson,7343,7267
Texas,Hutchinson,22150,21793
North Carolina,Hyde,5810,5426
South Dakota,Hyde,1420,1386
Idaho,Idaho,16267,16301
Pennsylvania,Indiana,88880,86747
Iowa,Iowa,16355,16282
Wisconsin,Iowa,23687,23585
Michigan,Iron,11817,11320
Missouri,Iron,10630,10203
Utah,Iron,46163,48113
Wisconsin,Iron,5916,5727
Alabama,Jackson,53227,52195
Arkansas,Jackson,17997,17365
Colorado,Jackson,1394,1353
Florida,Jackson,49746,48609
Georgia,Jackson,60485,63418
Illinois,Jackson,60218,59214
Indiana,Jackson,42376,43875
Iowa,Jackson,19848,19366
Kansas,Jackson,13462,13285
Kentucky,Jackson,13494,13325
Louisiana,Jackson,16274,15947
Michigan,Jackson,160248,159264
Minnesota,Jackson,10266,10096
Mississippi,Jackson,139668,141354
Missouri,Jackson,674158,686783
North Carolina,Jackson,40271,41305
Ohio,Jackson,33225,32559
Oklahoma,Jackson,26446,25459
Oregon,Jackson,203206,211403
South Dakota,Jackson,3031,3278
Tennessee,Jackson,11638,11534
Texas,Jackson,14075,14808
West Virginia,Jackson,29211,29170
Wisconsin,Jackson,20449,20524
Georgia,Jasper,13900,13683
Illinois,Jasper,9698,9630
Indiana,Jasper,33478,33478
Iowa,Jasper,36842,36750
Mississippi,Jasper,17062,16554
Missouri,Jasper,117404,118548
South Carolina,Jasper,24777,27460
Texas,Jasper,35710,35266
Georgia,Jeff Davis,15068,15013
Texas,Jeff Davis,2342,2199
Alabama,Jefferson,658466,660455
Arkansas,Jefferson,77435,71872
Colorado,Jefferson,534543,564888
Florida,Jefferson,14761,14115
Georgia,Jefferson,16930,15917
Idaho,Jefferson,26140,27127
Illinois,Jefferson,38827,38272
Indiana,Jefferson,32428,32297
Iowa,Jefferson,16843,17906
Kansas,Jefferson,19126,18794
Kentucky,Jefferson,741096,764946
Louisiana,Jefferson,432552,435175
Mississippi,Jefferson,7726,7503
Missouri,Jefferson,218733,223116
Montana,Jefferson,11406,11572
Nebraska,Jefferson,7547,7221
New York,Jefferson,116229,116371
Ohio,Jefferson,69709,67495
Oklahoma,Jefferson,6472,6266
Oregon,Jefferson,21720,22541
Pennsylvania,Jefferson,45200,44344
Tennessee,Jefferson,51407,53011
Texas,Jefferson,252273,255112
Washington,Jefferson,29872,30339
West Virginia,Jefferson,53498,56070
Wisconsin,Jefferson,83686,84488
Louisiana,Jefferson Davis,31594,31431
Mississippi,Jefferson Davis,12487,11632
Arkansas,Johnson,25540,26094
Georgia,Johnson,9980,9708
Illinois,Johnson,12582,12777
Indiana,Johnson,139654,148962
Iowa,Johnson,130882,144943
Kansas,Johnson,544179,579684
Kentucky,Johnson,23356,23128
Missouri,Johnson,52595,53496
Nebraska,Johnson,5217,5239
Tennessee,Johnson,18244,17842
Texas,Johnson,150934,159345
Wyoming,Johnson,8569,8611
North Carolina,Johnston,168878,185104
Oklahoma,Johnston,10957,10967
Georgia,Jones,28669,28441
Iowa,Jones,20638,20433
Mississippi,Jones,67761,68629
North Carolina,Jones,10153,9777
South Dakota,Jones,1006,917
Texas,Jones,20202,19966
Alaska,Juneau,31275,32615
Wisconsin,Juneau,26664,26307
Illinois,Kane,515269,528760
Utah,Kane,7125,7039
Illinois,Kendall,114736,122878
Texas,Kendall,33410,39938
Delaware,Kent,162310,173128
Maryland,Kent,20197,19715
Michigan,Kent,602622,637164
Rhode Island,Kent,166158,163747
Texas,Kent,808,747
Texas,King,286,282
Washington,King,1931249,2126178
California,Kings,152982,150085
